COMPANY,CIK,SIC
"@ROAD, INC",1109537,7373
1 800 CONTACTS INC,1050122,5961
1 800 FLOWERS COM INC,1084869,5990
1ST CENTENNIAL BANCORP,1097081,6022
1ST CONSTITUTION BANCORP,1141807,6035
"1ST INDEPENDENCE FINANCIAL GROUP, INC.",946738,6035
1ST SOURCE CORP,34782,6022
21ST CENTURY HOLDING CO,1069996,6331
21ST CENTURY INSURANCE GROUP,100331,6331
24/7 REAL MEDIA INC,1062195,7310
24HOLDINGS INC,1025315,5045
250 WEST 57TH ST ASSOCIATES,100412,6512
"2-Track Global, Inc.",1174290,3812
355 INC,1265848,9995
360 GLOBAL WINE CO,1124019,2080
3COM CORP,738076,3576
3D SYSTEMS CORP,910638,7372
3M CO,66740,3841
4 KIDS ENTERTAINMENT INC,58592,6794
4NET SOFTWARE INC,812149,7370
"51job, Inc.",1295484,7361
60 EAST 42ND STREET ASSOCIATES,90794,6512
649 COM INC,1098344,7900
724 SOLUTIONS INC,1097641,7372
8X8 INC /DE/,1023731,4813
99 CENT STUFF INC,1176435,5331
99 CENTS ONLY STORES,1011290,5331
A CONSULTING TEAM INC,1040792,7380
A J&J PHARMA CORP,1140452,9995
"A.C. Moore Arts & Crafts, Inc.",1042809,5945
A21 INC,1074436,7389
AAB NATIONAL CO,1321506,9995
AAMES INVESTMENT CORP,1282552,6798
Aames Mortgage Investment Trust 2004-1,1310737,6189
AAON INC,824142,3585
AAR CORP,1750,3720
AARON RENTS INC,706688,7359
AASTROM BIOSCIENCES INC,887359,8731
AAVID THERMAL TECHNOLOGIES INC,1003481,3679
"AB HOLDING GROUP, INC.",842289,3089
AB WATLEY GROUP INC,1035632,6211
ABATIX CORP,845779,5084
ABAXIS INC,881890,2835
ABAZIAS INC,1096208,9995
ABB LTD,1091587,8742
ABBEY NATIONAL PLC,1087711,6029
ABBOTT LABORATORIES,1800,2834
ABER DIAMOND CORP,841071,1000
ABERCROMBIE & FITCH CO /DE/,1018840,5651
ABFC ASSET-BACKED CERTIFICATES SERIES 2004-OPT1,1278400,6189
ABFC ASSET-BACKED CERTIFICATES SERIES 2004-OPT2,1285680,6189
"ABFC Asset-Backed Certificates, Series 2004-FF1",1299114,6189
"ABFC Asset-Backed Certificates, Series 2004-HE1",1301683,6189
ABIGAIL ADAMS NATIONAL BANCORP INC,356809,6021
"Abington Community Bancorp, Inc.",1292898,6036
ABIOMED INC,815094,3841
ABITIBI CONSOLIDATED INC,1039778,2621
ABLE ENERGY INC,1065728,5990
ABLE LABORATORIES INC,857171,2835
ABLEAUCTIONS COM INC,1099290,7389
ABLEST INC,46653,7363
ABM INDUSTRIES INC /DE/,771497,7340
ABN AMRO HOLDING N V,1038727,6099
ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER 2003-3,1221052,6189
ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER 2003-4,1224889,6189
ABN AMRO MORT SEC MULTI CLASS MORT PSTHR CERTS SER 2003-13,1274440,6189
ABN AMRO MORTGAGE CORP SERIES 2002-9,1209252,6189
ABN AMRO MORTGAGE MULTI-CLASS MOR PAS THR CER SER 2003-11,1265030,6189
ABRAXAS PETROLEUM CORP,867665,1311
"Abraxis BioScience, Inc.",1141399,2834
"ABSOLUTE POTENTIAL, INC.",1002360,2851
ABX AIR INC,894081,4513
ACACIA RESEARCH CORP,934549,3670
ACADIA PHARMACEUTICALS INC,1070494,2834
ACADIA REALTY TRUST,899629,6798
ACAMBIS PLC,1073965,2834
ACCELLENT CORP.,1297885,3841
ACCELR8 TECHNOLOGY CORP,727207,3826
"ACCELRYS, INC.",1002388,7372
ACCENTURE LTD,1134538,7389
ACCENTURE SCA,1143908,8742
ACCESS INTEGRATED TECHNOLOGIES INC,1173204,7389
ACCESS NATIONAL CORP,1176316,6035
ACCESS PHARMACEUTICALS INC,318306,2834
ACCESS WORLDWIDE COMMUNICATIONS INC,1048422,8742
ACCESSORY SPECIALISTS INC,1104198,9995
ACCESSPOINT CORP /NV/,1104174,7389
ACCESSTEL INC /UT/,1063293,5700
ACCREDITED HOME LENDERS HOLDING CO,1174735,6162
ACCREDITED HOME LENDERS INC MORTGAGE LOAN TRUST 2004-1,1280796,6189
Accredited Mortgage Loan REIT Trust,1297178,6798
Accredited Mortgage Loan Trust 2004-2,1291615,6189
Accredited Mortgage Loan Trust 2004-3,1301550,6189
Accredited Mortgage Loan Trust 2004-4,1309236,6189
ACCUPOLL HOLDING CORP,764794,3579
ACCURIDE CORP,817979,3714
ACE AVIATION HOLDINGS INC.,1295721,4512
ACE CASH EXPRESS INC/TX,849116,6099
ACE COMM CORP,1017526,7373
ACE LTD,896159,6331
ACE SEC CORP WELLS FARGO FINANCIAL AUTO OWNER TRUST 2004-A,1283440,6189
ACE SECURITIES CORP HOME EQUITY LOAN TRUST SERIES 2004 FM1,1278063,6189
ACE SECURITIES CORP HOME EQUITY LOAN TRUST SERIES 2004 HE1,1285188,6189
ACE SECURITIES CORP HOME EQUITY LOAN TRUST SERIES 2004-OP1,1287674,6189
ACE Securities Corp Series 2004-FM2,1301937,6189
ACE Securities Corp Series 2004-HE3,1307531,6189
ACE Securities Corp Series 2004-HE4,1310211,6189
ACE Securities Corp Series 2004-IN1,1292206,6189
ACE Securities Corp Series 2004-RM1,1299275,6189
ACE Securities Corp Series 2004-SD1,1304949,6189
Ace Securities Corp Series HE2,1303985,6189
ACERGY S.A.,898685,1389
ACETEX CORP,1002929,2870
ACETO CORP,2034,5160
ACG HOLDINGS INC,856710,2750
ACIES CORP,1138462,7371
ACL SEMICONDUCTOR INC,934445,5065
ACME COMMUNICATIONS INC,1092013,4833
ACME UNITED CORP,2098,3420
ACNB CORP,715579,6022
ACR GROUP INC,711307,5070
ACREX VENTURES LTD,1194506,1000
ACRO INC.,1228386,8742
ACRONGENOMICS INC,1104502,2835
ACROSS AMERICA REAL ESTATE CORP,1233275,6500
ACS - TECH 80 LTD,1038144,3670
ACT TELECONFERENCING INC,918709,4899
ACTEL CORP,907687,3674
ACTION PRODUCTS INTERNATIONAL INC,747435,3944
ACTIONVIEW INTERNATIONAL INC,789667,7900
ACTIS GLOBAL VENTURES INC,1161461,2833
ACTIVE POWER INC,1044435,4911
ACTIVECORE TECHNOLOGIES INC,1011601,7372
ACTIVEWORLDS COM INC,1089531,7389
ACTIVIDENTITY CORP,1183941,7372
ACTIVISION INC /NY,718877,7372
ACTUANT CORP,6955,3590
ACTUATE CORP,1062478,7372
ACUITY BRANDS INC,1144215,5160
"AcuNetx, Inc.",1097575,3841
"ACURA PHARMACEUTICALS, INC",786947,2834
ACUSPHERE INC,1115143,2834
ACXIOM CORP,733269,7374
ADA-ES INC,1223112,2890
AdAl Group Inc.,810370,9995
ADAM INC,863650,7372
ADAMS GOLF INC,1059763,3949
"ADAMS RESOURCES & ENERGY, INC.",2178,5172
"Adams Respiratory Therapeutics, Inc.",1319439,2834
ADAPTEC INC,709804,3576
ADASTRA MINERALS INC,1050602,1000
ADC TELECOMMUNICATIONS INC,61478,3661
ADDISON DAVIS DIAGNOSTICS,932127,2834
ADDVANTAGE TECHNOLOGIES GROUP INC,874292,5000
ADE CORP,884498,3825
ADECCO SA,931496,7363
ADELPHIA COMMUNICATIONS CORP,796486,4841
ADEPT TECHNOLOGY INC,865415,3559
ADERA MINES LTD,1281629,1040
ADESA INC,1281949,5010
ADEZA BIOMEDICAL CORP,902482,3825
ADHEREX TECHNOLOGIES INC,1211583,2836
ADM TRONICS UNLIMITED INC/DE,849401,2891
ADMINISTAFF INC \DE\,1000753,7363
ADMIRAL FINANCIAL CORP,828530,6035
ADMIRALTY HOLDING CO,85684,1000
ADOBE SYSTEMS INC,796343,7372
ADOLOR CORP,1076167,2834
ADSERO CORP,1103544,3570
"ADSOUTH PARTNERS, INC.",1158235,7310
ADSTAR INC,1091599,7372
ADTRAN INC,926282,3661
ADUDDELL INDUSTRIES INC,928373,1700
"Advance America, Cash Advance Centers, Inc.",1299704,6141
ADVANCE AUTO PARTS INC,1158449,5531
ADVANCE DISPLAY TECHNOLOGIES INC,770034,6794
"Advance Nanotech, Inc.",354699,6799
ADVANCE TECHNOLOGIES INC,1081944,6770
ADVANCED ACCESSORY HOLDINGS CORP,1276721,3714
"ADVANCED BATTERY TECHNOLOGIES, INC.",745651,3690
Advanced BioPhotonics Inc.,1096182,3829
ADVANCED BIOTHERAPY INC,791833,8731
"ADVANCED CELL TECHNOLOGY, INC.",1140098,2834
ADVANCED COMMUNICATIONS TECHNOLOGIES INC,1100820,7389
ADVANCED DIGITAL INFORMATION CORP,770403,3572
ADVANCED ENERGY INDUSTRIES INC,927003,3679
ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,849706,2430
ADVANCED ID CORP,1005356,3674
ADVANCED LIGHTING TECHNOLOGIES INC,1002125,3640
ADVANCED LUMITECH INC,894537,2600
ADVANCED MAGNETICS INC,792977,2835
ADVANCED MEDIA TRAINING INC,1250485,7812
ADVANCED MEDICAL INSTITUTE INC.,1096620,8090
ADVANCED MEDICAL OPTICS INC,1168335,3841
ADVANCED MICRO DEVICES INC,2488,3674
ADVANCED NUTRACEUTICALS INC/TX,913614,2834
ADVANCED OPTICS ELECTRONICS INC,1020657,3827
ADVANCED OXYGEN TECHNOLOGIES INC,352991,6794
ADVANCED PHOTONIX INC,869986,3674
ADVANCED PLANT PHARMACEUTICALS INC,943535,2020
"Advanced Refractive Technologies, Inc.",1082249,3841
ADVANCED SEMICONDUCTOR ENGINEERING INC,1122411,3674
ADVANCED SPORTS TECHNOLOGIES INC,1160798,3841
ADVANCED TECHNOLOGIES GROUP LTD,1119046,9995
ADVANCED VIRAL RESEARCH CORP,786623,2834
ADVANCIS PHARMACEUTICAL CORP,1161924,2834
ADVANSTAR COMMUNICATIONS INC,1062771,7389
ADVANSTAR INC,1064243,7389
ADVANT E CORP,925043,7372
ADVANTA BUSINESS RECEIVABLES CORP,1107920,6189
ADVANTA CORP,96638,6141
ADVANTEST CORP,1158838,3663
"Advaxis, Inc.",1100397,2834
ADVENT SOFTWARE INC /DE/,1002225,7371
ADVENTRX PHARMACEUTICALS INC,1160308,2834
ADVISORY BOARD CO,1157377,8741
ADVO INC,801622,7331
ADVOCAT INC,919956,8051
ADX Corp.,1290246,2890
ADZONE RESEARCH INC,1102013,8700
AEC1 INC,1274893,2810
AEGIS ASSESSMENTS INC,1183075,3669
AEGIS ASSET BACKED SEC CORP MORT PAS THR CERT SERIES 2004 2,1287414,6189
AEGIS ASSET BACKED SEC TR MORT PASS THR CERT SER 2004 1,1277608,6189
AEGIS ASSET BACKED SECURITIES TRUST 2004-6,1312821,6189
"AEGIS ASSET BACKED SECURITIES TRUST Mortgage Pass-Through Certificates, Series 2004-3",1296486,6189
"AEGIS ASSET BACKED SECURITIES TRUST Mortgage Pass-Through Certificates, Series 2004-4",1302044,6189
"AEGIS ASSET BACKED SECURITIES TRUST Mortgage Pass-Through Certificates, Series 2004-5",1307448,6189
AEGIS COMMUNICATIONS GROUP INC,778426,7389
AEGON NV,769218,6311
AEHR TEST SYSTEMS,1040470,3825
AEI INCOME & GROWTH FUND 23 LLC,1073363,6500
AEI INCOME & GROWTH FUND 24 LLC,1130758,6500
AEI INCOME & GROWTH FUND 25 LLC,1185198,6500
AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,931755,6500
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,1023458,6500
AEI NET LEASE INCOME & GROWTH FUND XIX LIMITED PARTNERSHIP,868740,6500
AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP,894245,6500
AEI REAL ESTATE FUND XV LTD PARTNERSHIP,793631,6500
AEI REAL ESTATE FUND XVII LIMITED PARTNERSHIP,819577,6500
AEI REAL ESTATE FUND XVIII LIMITED PARTNERSHIP,840459,6500
"AEOLUS PHARMACEUTICALS, INC.",1261734,2834
AEP GENERATING CO /OH/,857571,4911
AEP INDUSTRIES INC,785787,3081
AEP TEXAS CENTRAL CO,18734,4911
AEP TEXAS NORTH CO,105860,4911
"Aerobic Creations, Inc.",1311953,7822
AEROCENTURY CORP,1036848,7359
AEROFLEX INC,2601,3674
AEROPOSTALE INC,1168213,5600
AEROSONIC CORP /DE/,109471,3812
AEROTELESIS INC,17544,4813
AES CORP,874761,4991
AES GENER INC,926075,4931
Aeterna Zentaris Inc.,1113423,2834
AETHER HOLDINGS INC,1093434,6799
AETHLON MEDICAL INC,882291,3826
AETNA INC /PA/,1122304,6324
AETRIUM INC,908598,3825
AF FINANCIAL GROUP,1064025,6021
AFC ENTERPRISES INC,1041379,5812
AFFILIATED COMPUTER SERVICES INC,2135,7374
AFFILIATED MANAGERS GROUP INC,1004434,6282
AFFINITY GROUP INC,910560,7900
AFFINITY TECHNOLOGY GROUP INC,1007508,6794
AFFIRMATIVE INSURANCE HOLDINGS INC,1282543,6331
AFFORDABLE RESIDENTIAL COMMUNITIES INC,1265131,6798
AFFYMETRIX INC,913077,3826
AFG INVESTMENT TRUST C,879496,7359
AFG INVESTMENT TRUST D,879497,7359
AFLAC INC,4977,6321
AFP IMAGING CORP,319126,3861
AFTERMARKET TECHNOLOGY CORP,933405,3714
Aftersoft Group,832488,6770
"AFV SOLUTIONS, INC.",1167868,3790
AGCO CORP /DE,880266,3523
AGERE SYSTEMS INC,1129446,3674
AGILE SOFTWARE CORP,1088653,7372
AGILENT TECHNOLOGIES INC,1090872,3825
AGILYSYS INC,78749,5065
AGL RESOURCES INC,1004155,4924
AGNICO EAGLE MINES LTD,2809,1040
AGREE REALTY CORP,917251,6798
AGRIUM INC,943003,2870
"AHPC Holdings, Inc.",837038,5190
AIDA PHARMACEUTICALS INC,1220286,2834
AIMCO PROPERTIES LP,926660,6513
AIMS WORLDWIDE INC,1094363,7900
AINSWORTH LUMBER CO LTD,1043289,2400
AIR BROOK AIRPORT EXPRESS INC,803097,6799
AIR FRANCE-KLM /FI,1110452,4512
AIR METHODS CORP,816159,4522
AIR PRODUCTS & CHEMICALS INC /DE/,2969,2810
AIR T INC,353184,4513
"Airbee Wireless, Inc.",1297533,7372
AIRCRAFT LEASE PORTFOLIO SECURITISATION 92-1 LTD,1023626,6189
AIRGAS EAST INC,1158045,5160
AIRGAS INC,804212,5084
AIRNET COMMUNICATIONS CORP,944163,3663
AIRNET SYSTEMS INC,1011696,4512
AIRSPAN NETWORKS INC,1105542,3663
AIRTRAN HOLDINGS INC,948846,4512
AIRTRAX INC,1081372,3537
AIXTRON AG,1089496,3559
AJAY SPORTS INC,854858,3949
AJS BANCORP INC,1144515,6021
AK STEEL HOLDING CORP,918160,3312
AKAMAI TECHNOLOGIES INC,1086222,7389
"AKESIS PHARMACEUTICALS, INC.",1042420,7389
AKORN INC,3116,2834
AKSYS LTD,902600,3845
AKTIEBOLAGET ELECTROLUX,813810,3630
AKTIEBOLAGET VOLVO \PUBL\,753762,3711
AKZO NOBEL NV,3124,2800
ALABAMA GAS CORP,3146,4924
ALABAMA NATIONAL BANCORPORATION,926966,6022
ALABAMA POWER CO,3153,4911
ALADDIN KNOWLEDGE SYSTEMS LTD,911364,7373
ALAMO GROUP INC,897077,3523
ALAMOS GOLD INC,1178819,1400
ALANCO TECHNOLOGIES INC,98618,3572
ALASKA AIR GROUP INC,766421,4512
ALASKA AIRLINES INC,3202,4512
ALASKA COMMUNICATIONS SYSTEMS GROUP INC,1089511,4813
ALASKA COMMUNICATIONS SYSTEMS HOLDINGS INC,1089510,4813
ALASKA PACIFIC BANCSHARES INC,1081860,6035
ALBANY INTERNATIONAL CORP /DE/,819793,2221
ALBANY MOLECULAR RESEARCH INC,1065087,8731
ALBEMARLE CORP,915913,2821
ALBERTA STAR DEVELOPMENT CORP,1142462,1000
ALBERTO CULVER CO,3327,5990
ALBERTSONS INC /DE/,3333,5411
ALCAN INC,4285,3330
ALCATEL,886125,3661
"ALCiS Health, Inc.",904145,6770
"ALCO, INC.",734543,6331
ALCOA INC,4281,3350
ALCON INC,1167379,3851
Aldabra Acquisition CORP,1310817,6770
ALDERWOODS GROUP INC,927914,7200
ALDILA INC,902272,3949
"Aleris International, Inc.",202890,3341
ALESTRA,1098504,4813
ALEXANDER & BALDWIN INC,3453,4400
ALEXANDERS INC,3499,6798
ALEXANDERS J CORP,103884,5812
ALEXANDRIA REAL ESTATE EQUITIES INC,1035443,6798
ALFA CORP,743532,6331
ALFA INTERNATIONAL HOLDINGS CORP.,820600,9995
ALFA LAVAL SPECIAL FINANCE AB,1144396,3433
ALFACELL CORP,708717,2836
ALICO INC,3545,100
ALIGN TECHNOLOGY INC,1097149,3842
ALIMENTATION COUCHE TARD INC,1081825,5412
ALION SCIENCE & TECHNOLOGY CORP,1166568,8731
ALKERMES INC,874663,2834
ALL AMERICAN SEMICONDUCTOR INC,818074,5065
ALL AMERICAN SPORTPARK INC,930245,5900
ALL STATE PROPERTIES LP,745543,1531
ALLBRITTON COMMUNICATIONS CO,889156,4833
ALLEGHANY CORP /DE,775368,6331
ALLEGHENY BANCSHARES INC,1213662,6035
"ALLEGHENY ENERGY, INC",3673,4911
ALLEGHENY GENERATING CO,774459,4911
ALLEGHENY TECHNOLOGIES INC,1018963,3317
ALLERGAN INC,850693,2834
ALLERGY RESEARCH GROUP INC,1044119,5122
ALLETE INC,66756,4931
ALLIANCE ATLANTIS COMMUNICATIONS INC,1005887,7812
ALLIANCE BANCSHARES CALIFORNIA,1140472,6021
ALLIANCE BANKSHARES CORP,1181001,6021
ALLIANCE DATA SYSTEMS CORP,1101215,7389
Alliance Distributors Holding Inc.,1115463,3577
ALLIANCE FIBER OPTIC PRODUCTS INC,1122342,3674
ALLIANCE FINANCIAL CORP /NY/,796317,6021
ALLIANCE HEALTH INC,822434,8011
ALLIANCE HEALTHCARD INC,1087216,7331
ALLIANCE IMAGING INC /DE/,817135,8071
ALLIANCE LAUNDRY CORP,1063697,5080
ALLIANCE LAUNDRY HOLDINGS LLC,1063698,5080
ALLIANCE LAUNDRY SYSTEMS LLC,1063699,5080
"ALLIANCE ONE INTERNATIONAL, INC.",939930,5150
ALLIANCE PHARMACEUTICAL CORP,736994,2835
ALLIANCE RESOURCE PARTNERS LP,1086600,1221
ALLIANCE SEMICONDUCTOR CORP /DE/,913293,3674
ALLIANCEBERNSTEIN HOLDING L.P.,825313,6282
ALLIANCEBERNSTEIN L.P.,1109448,6282
ALLIANT ENERGY CORP,352541,4931
ALLIANT TECHSYSTEMS INC,866121,3760
ALLIANZ AKTIENGESELLSCHAFT,1127508,6411
ALLIED BANCSHARES INC,1259339,6021
ALLIED DEFENSE GROUP INC,3952,3480
ALLIED HEALTHCARE INTERNATIONAL INC,890634,8082
ALLIED HEALTHCARE PRODUCTS INC,874710,3842
ALLIED HOLDINGS INC,909950,4213
ALLIED IRISH BANKS PLC,850364,6029
ALLIED MOTION TECHNOLOGIES INC,46129,3825
ALLIED RESOURCES INC,1211524,1382
Allied Security Holdings LLC,1301566,7381
ALLIED WASTE INDUSTRIES INC,848865,4953
ALLIN CORP,1020391,7373
ALLION HEALTHCARE INC,847935,5122
Allis Chalmers Energy Inc.,3982,1389
ALLOS THERAPEUTICS INC,1097264,2834
ALLOY  INC,1080359,5961
ALLOY STEEL INTERNATIONAL INC,1127454,3320
ALLSCRIPTS HEALTHCARE SOLUTIONS INC,1124804,5122
AllShips Ltd.,1083725,9995
ALLSTATE CORP,899051,6331
ALLSTATE LIFE GLOBAL FUNDING,1176267,6189
ALLSTATES WORLDCARGO INC,1072293,4731
ALLTEL CORP,65873,4812
ALLURA INTERNATIONAL INC,1082741,5094
ALMADEN MINERALS LTD,1015647,1000
ALMOST FAMILY INC,799231,8300
ALNILAM CORP,1128288,6770
"ALNYLAM PHARMACEUTICALS, INC.",1178670,2834
ALP LIQUIDATING TRUST,814046,1531
ALPHA GOLD CORP,1157807,1040
ALPHA INNOTECH CORP,830736,3826
"Alpha Natural Resources, Inc.",1310243,1221
ALPHA PRO TECH LTD,884269,3842
ALPHA SPACECOM INC,763245,7372
ALPHARMA INC,730469,2834
ALPHARX INC,1114936,2834
ALPHATRADE COM,1076462,7389
ALPINE AIR EXPRESS INC/DE,1092807,4522
ALPINE GROUP INC /DE/,4164,3357
ALR TECHNOLOGIES INC,1087022,3669
ALTAIR NANOTECHNOLOGIES INC,1016546,2890
ALTANA    AKTIENGESELLSCHAFT,1182802,2834
ALTEON INC /DE,878903,2834
ALTERA CORP,768251,3674
ALTERNATE ENERGY CORP,1075773,2810
ALTERNATIVE ASSET GROWTH FUND L P,851998,6792
ALTERNATIVE ENERGY SOURCES INC,1175867,8742
Alternative Loan Trust 2004-10CB,1291956,6189
Alternative Loan Trust 2004-12CB,1291946,6189
Alternative Loan Trust 2004-13CB,1291955,6189
Alternative Loan Trust 2004-14T2,1296345,6189
ALTERNATIVE LOAN TRUST 2004-15,1298682,6189
Alternative Loan Trust 2004-16CB,1296346,6189
ALTERNATIVE LOAN TRUST 2004-17CB,1299206,6189
Alternative Loan Trust 2004-18CB,1299134,6189
ALTERNATIVE LOAN TRUST 2004-20T1,1299016,6189
ALTERNATIVE LOAN TRUST 2004-22CB,1301777,6189
ALTERNATIVE LOAN TRUST 2004-24CB,1304832,6189
ALTERNATIVE LOAN TRUST 2004-25CB,1307181,6189
ALTERNATIVE LOAN TRUST 2004-26T1,1307180,6189
Alternative Loan Trust 2004-27CB,1307365,6189
Alternative Loan Trust 2004-7T1,1288867,6189
Alternative Loan Trust 2004-8CB,1289064,6189
ALTERNATIVE LOAN TRUST 2004-9T1,1291970,6189
Alternative Loan Trust 2004-J7,1302190,6189
Alternative Loan Trust 2004-J8,1302120,6189
Alternative Loan Trust 2004-J9,1304973,6189
ALTERNATIVE LOAN TRUST MORT PASS THROUGH CERT SERIES 2003-4,1234577,6189
ALTERNET SYSTEMS INC,1126003,7372
ALTEX INDUSTRIES INC,775057,1311
ALTIGEN COMMUNICATIONS INC,1003607,3661
ALTIRIS INC,1139650,7372
ALTO PALERMO SA APSA,1128173,6512
"ALTRIA GROUP, INC.",764180,2000
ALTUS EXPLORATIONS INC,1165639,1040
ALUMINA LTD,857071,3330
ALUMINUM CORP OF CHINA LTD,1161611,3334
ALVARION LTD,1108332,3661
AM MARKETING INC,1133265,9995
"AMACORE GROUP, INC.",949394,7389
AMADOR GOLD CORP,1266833,1040
AMANASU ENVIRONMENT CORP,1142801,4955
AMANASU TECHNOLOGIES CORP,1168663,3751
AMARC RESOURCES LTD,1175596,1040
AMARILLO BIOSCIENCES INC,1014763,2834
AMARIN CORP PLC\UK,897448,2834
AMARU INC,1139822,7389
AMASYS CORP,1023198,6799
AMAZON BIOTECH INC,1088781,2834
AMAZON COM INC,1018724,5961
AMB FINANCIAL CORP,915393,6035
AMB PROPERTY CORP,1045609,6798
AMB PROPERTY LP,1045610,6500
AMBAC FINANCIAL GROUP INC,874501,6351
AMBASE CORP,20639,6282
AMBASSADORS GROUP INC,1162315,8200
AMBASSADORS INTERNATIONAL INC,946842,4700
AMBIENT CORP /NY,1047919,4813
AMC ENTERTAINMENT INC,722077,7830
AMCOL INTERNATIONAL CORP,813621,1400
AMCON DISTRIBUTING CO,928465,5141
AMCOR LTD,869428,3990
AMCORE FINANCIAL INC,714756,6021
AMDL INC,838879,3841
AMDOCS LTD,1062579,7371
"AMEDIA NETWORKS, INC.",933955,3577
AMEDISYS INC,896262,8082
AMEN PROPERTIES INC,1037599,6798
AMERA LINK INC,1133266,9995
Amera Resources CORP,1303180,1400
AMERALIA INC,811419,1400
AMERCO /NV/,4457,7510
AMERENENERGY GENERATING CO,1135361,4911
AMERIANA BANCORP,855574,6035
AMERICA FIRST APARTMENT INVESTORS INC,1175167,6798
AMERICA FIRST TAX EXEMPT INVESTORS LP,1059142,6199
AMERICA MOVIL SA DE CV/,1129137,4813
AMERICA SERVICE GROUP INC /DE,877476,8090
AMERICA WEST AIRLINES INC,706270,4512
AMERICA WEST HOLDINGS CORP,1029863,4512
AMERICAN ACCESS TECHNOLOGIES INC,1043186,3444
AMERICAN ACHIEVEMENT CORP,1168468,3911
AMERICAN AFFORDABLE HOUSING II LIMITED PARTNERSHIP,815024,6513
AMERICAN AIRLINES INC,4515,4512
AMERICAN AMMUNITION INC/FL,1123648,3990
AMERICAN ASSET MANAGEMENT CORP,852015,6162
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,1062231,3714
AMERICAN BANK INC,1163747,6021
AMERICAN BANK NOTE HOLOGRAPHICS INC,1052489,7389
AMERICAN BAR ASSOCIATION MEMBERS STATE STREET COLLECTIVE TR,878375,6799
AMERICAN BEVERAGE CO AMBEV,1113172,2080
AMERICAN BILTRITE INC,4611,3089
AMERICAN BIO MEDICA CORP,896747,2834
American Bonanza Gold Corp.,1072019,1000
AMERICAN BUSINESS CORP,820408,4213
AMERICAN BUSINESS FINANCIAL SERVICES INC /DE/,772349,6162
AMERICAN CAMPUS COMMUNITIES INC,1283630,6798
AMERICAN CAPITAL HOLDINGS INC,1288012,6770
American Casino & Entertainment Properties LLC,1297735,7990
AMERICAN CELLULAR CORP /DE/,1067075,4812
AMERICAN CHURCH MORTGAGE CO,934543,6500
AMERICAN CLAIMS EVALUATION INC,774517,8300
AMERICAN COLOR GRAPHICS INC,856709,2750
AMERICAN COMMERCE SOLUTIONS Inc,949982,3559
AMERICAN COMMUNITY BANCSHARES INC,1106980,6022
AMERICAN COMMUNITY PROPERTIES TRUST,1065645,6552
AMERICAN CONSOLIDATED MANAGEMENT GROUP INC,891713,1000
AMERICAN CONSUMERS INC,4811,5411
AMERICAN CRYSTAL SUGAR CO /MN/,4828,2060
AMERICAN DAIRY INC,789868,2020
AMERICAN DENTAL PARTNERS INC,1028087,8090
AMERICAN EAGLE OUTFITTERS INC,919012,5651
AMERICAN ECOLOGY CORP,742126,4953
AMERICAN EDUCATION CORP,705003,7372
AMERICAN ELECTRIC POWER CO INC,4904,4911
AMERICAN ENERGY GROUP LTD,843212,1311
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,1039828,6311
AMERICAN EXPRESS CENTURION BANK,949348,6189
AMERICAN EXPRESS CO,4962,6199
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,1003509,6189
AMERICAN EXPRESS CREDIT CORP,4969,6153
AMERICAN EXPRESS MASTER TRUST,887616,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP,887617,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP II,949349,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP III LLC,1283434,6189
AMERICAN EXPRESS RECEIVABLES FINANCING CORP IV LLC,1283435,6189
AMERICAN FINANCIAL GROUP INC,1042046,6331
AMERICAN FINANCIAL REALTY TRUST,1193558,6798
AMERICAN FRONTIERS MARKETING CO,1101915,6770
AMERICAN GENERAL FINANCE CORP,25598,6141
AMERICAN GENERAL FINANCE INC,25600,6141
AMERICAN GOLDEN CENTURY INVESTMENTS INC,1094656,7389
AMERICAN GOLDFIELDS INC,1167886,1400
AMERICAN GREETINGS CORP,5133,2771
AMERICAN HEALTHCHOICE INC /NY/,854862,8011
"American Home Food Products, Inc.",945634,3272
AMERICAN HOME MORTGAGE INVESTMENT CORP,1256536,6798
AMERICAN HOME MORTGAGE INVESTMENT TRUST 2004-3,1304963,6189
AMERICAN HOMEPATIENT INC,879181,8082
AMERICAN INDEPENDENCE CORP,97196,6321
AMERICAN INTERNATIONAL GROUP INC,5272,6331
AMERICAN INTERNATIONAL INDUSTRIES INC,1073146,6799
AMERICAN INTERNATIONAL VENTURES INC /DE/,5656,9995
AMERICAN ISRAELI PAPER MILLS LTD,5337,2621
AMERICAN ITALIAN PASTA CO,849667,2090
AMERICAN LAND LEASE INC,804138,6798
